     remote           refid      st t when poll reach   delay   offset  jitter
-time.shf.uk.as4 198.137.202.11   3 u  104  256  377   25.321   -0.679   1.720
-kabel.kashra-se .PPS.            1 u  175  256  337   57.950   -5.326   6.138
-185.216.231.116 52.239.121.49    3 u  349  256   12  171.428   -6.509   1.370
+ntp1.ds.network 92.21.53.217     2 u  211  256   57   30.905   -0.938   1.045
-crimson.en.kku. 202.12.97.45     2 u  225  256  375  220.359    2.240   3.215
-chilipepper.can 134.71.66.21     2 u  197  256  377   25.239   -0.390   2.055
+golem.canonical 140.203.204.77   2 u  227  256  377   26.523    0.406   0.789
-alphyn.canonica 194.58.200.20    2 u   66  512  337   81.206    0.148   1.830
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u   93  512  377   20.689   -0.535   3.662
+time.shf.uk.as4 198.137.202.11   3 u  511  512  377   25.321   -0.679   1.815
-kabel.kashra-se .PPS.            1 u   42  512  377   58.203   -6.896   1.169
-185.216.231.116 52.239.121.49    3 u  494  512  123  169.719   -7.737   0.954
+ntp1.ds.network 92.21.53.217     2 u   86  512  377   30.613   -0.474   0.662
-crimson.en.kku. 202.28.116.236   2 u  375  512  337  220.359    2.240   1.394
+chilipepper.can 17.253.34.123    2 u  336  512  365   25.239   -0.390   1.000
-golem.canonical 140.203.204.77   2 u  366  512  377   26.218    0.610   2.069
-alphyn.canonica 145.238.203.14   2 u  211 1024  177   81.206    0.148   1.786
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  240  512  377   20.954   -0.435   3.608
-time.shf.uk.as4 198.137.202.11   3 u  135  512  377   26.829    0.556   1.325
-kabel.kashra-se .PPS.            1 u  172  512  377   55.488   -4.155   2.506
-185.216.231.116 52.239.121.49    3 u 1161  512  234  169.719   -7.737   1.411
+ntp1.ds.network 92.21.53.217     2 u  226  512  377   30.613   -0.474   0.672
-crimson.en.kku. 202.28.116.236   2 u  521  512  177  220.581    1.298   1.742
+chilipepper.can 37.15.221.189    2 u  468  512  327   27.407    0.081   1.547
+golem.canonical 17.253.108.253   2 u  506  512  377   25.828    0.319   2.319
-alphyn.canonica 145.238.203.14   2 u  379  512  377   82.026   -0.080   1.800
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  386  512  377   20.954   -0.435   0.658
-time.shf.uk.as4 198.137.202.11   3 u  294  512  377   28.049    0.606   1.332
-kabel.kashra-se .PPS.            1 u  339  512  377   55.488   -4.155   2.265
-185.216.231.116 52.239.121.49    3 u  793  512  162  170.109   -7.565   1.370
+ntp1.ds.network 92.21.53.217     2 u  394  512  377   32.885   -0.759   0.924
-crimson.en.kku. 202.12.97.45     2 u  147  512  377  220.986    2.072   1.026
+chilipepper.can 17.253.34.123    2 u   79  512  277   25.609    0.103   1.448
+golem.canonical 17.253.108.125   2 u  117  512  377   26.543    1.225   1.956
-alphyn.canonica 194.58.200.20    2 u  521  512  377   82.026   -0.080   0.978
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u   22  512  377   21.872   -1.088   0.813
-time.shf.uk.as4 198.137.202.11   3 u  458  512  377   28.049    0.606   1.395
-kabel.kashra-se .PPS.            1 u  499  512  377   59.436   -3.826   2.155
-185.216.231.116 52.239.121.49    3 u  409  512  313  168.407   -8.476   1.739
+ntp1.ds.network 92.21.53.217     2 u   24  512  377   35.649    0.971   2.517
-crimson.en.kku. 202.12.97.45     2 u  283  512  375  220.986    2.072   0.782
+chilipepper.can 145.238.203.14   2 u  225  512  377   25.609    0.103   1.441
-golem.canonical 17.253.108.125   2 u  250  512  377   25.269   -0.391   2.576
-alphyn.canonica 17.253.34.123    2 u  157  512  377   82.416   -0.708   1.454
