,     remote           refid      st t when poll reach   delay   offset  jitter
42,-alphyn.canonica 194.58.200.20    2 u  249  256  377   82.319    0.333   0.798
43,     remote           refid      st t when poll reach   delay   offset  jitter
44, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
45,*brenbox.westnet .GPS.            1 u   39  256  377   21.256   -0.091   1.375
46,-time.shf.uk.as4 198.137.202.11   3 u  197  256  377   26.445   -1.638   1.249
47,-kabel.kashra-se .PPS.            1 u  243  256  377   57.189   -6.679   3.710
48,-185.216.231.116 52.239.121.49    3 u  171  256  367  168.329   -7.680   1.968
49,+ntp1.ds.network 92.21.53.217     2 u   17  256  377   30.745   -1.024   1.120
50,-crimson.en.kku. 202.12.97.45     2 u   27  256  377  221.994    1.904   1.156
51,+chilipepper.can 17.253.34.123    2 u   14  256  377   24.750   -1.527   2.039
52,+golem.canonical 17.253.108.253   2 u   10  256  377   24.909   -0.663   1.423
53,-alphyn.canonica 17.253.34.253    2 u  156  512  377   82.680   -0.450   1.307
54,     remote           refid      st t when poll reach   delay   offset  jitter
55, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
56,*brenbox.westnet .GPS.            1 u  181  256  377   21.256   -0.091   1.397
57,-time.shf.uk.as4 198.137.202.11   3 u   66  256  377   26.923   -0.788   0.450
58,-kabel.kashra-se .PPS.            1 u  130  256  377   58.734   -9.295   3.139
59,-185.216.231.116 52.239.121.49    3 u   68  256  365  168.329   -7.680   0.885
60,+ntp1.ds.network 92.21.53.217     2 u  169  256  377   29.718   -1.722   1.421
61,-crimson.en.kku. 202.12.97.45     2 u  182  256  375  222.003    2.638   0.968
62,+chilipepper.can 17.253.34.251    2 u  180  256  377   25.410    0.381   0.768
63,+golem.canonical 145.238.203.14   2 u  172  256  377   24.996   -0.083   2.014
64,-alphyn.canonica 17.253.34.123    2 u  831  512  376   82.859    0.787   0.874
65,     remote           refid      st t when poll reach   delay   offset  jitter
66, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
67,*brenbox.westnet .GPS.            1 u   70  256  377   18.932   -1.862   2.357
68,-time.shf.uk.as4 198.137.202.11   3 u  215  256  377   26.726   -1.048   0.684
69,-kabel.kashra-se .PPS.            1 u   30  256  375   57.950   -5.326   6.897
70,-185.216.231.116 52.239.121.49    3 u 1267  256  120  168.329   -7.680   0.885
71,+ntp1.ds.network 92.21.53.217     2 u  324  256  362   29.718   -1.722   1.432
72,-crimson.en.kku. 202.12.97.45     2 u   79  256  277  222.003    2.638   2.950
73,-chilipepper.can 131.188.3.220    2 u   69  256  377   25.799   -0.706   2.319
74,+golem.canonical 17.253.108.253   2 u   72  256  377   24.996   -0.083   0.923
75,-alphyn.canonica 17.253.34.123    2 u  437  512  373   82.119   -0.036   2.016
76,     remote           refid      st t when poll reach   delay   offset  jitter
77, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
78,*brenbox.westnet .GPS.            1 u  212  256  377   18.932   -1.862   4.707
79,-time.shf.uk.as4 198.137.202.11   3 u  104  256  377   25.321   -0.679   1.720
80,-kabel.kashra-se .PPS.            1 u  175  256  337   57.950   -5.326   6.138
81,-185.216.231.116 52.239.121.49    3 u  349  256   12  171.428   -6.509   1.370
82,+ntp1.ds.network 92.21.53.217     2 u  211  256   57   30.905   -0.938   1.045
83,-crimson.en.kku. 202.12.97.45     2 u  225  256  375  220.359    2.240   3.215
84,-chilipepper.can 134.71.66.21     2 u  197  256  377   25.239   -0.390   2.055
85,+golem.canonical 140.203.204.77   2 u  227  256  377   26.523    0.406   0.789
86,-alphyn.canonica 194.58.200.20    2 u   66  512  337   81.206    0.148   1.830
87,     remote           refid      st t when poll reach   delay   offset  jitter
88, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
89,*brenbox.westnet .GPS.            1 u   93  512  377   20.689   -0.535   3.662
90,+time.shf.uk.as4 198.137.202.11   3 u  511  512  377   25.321   -0.679   1.815
91,-kabel.kashra-se .PPS.            1 u   42  512  377   58.203   -6.896   1.169
92,-185.216.231.116 52.239.121.49    3 u  494  512  123  169.719   -7.737   0.954
93,+ntp1.ds.network 92.21.53.217     2 u   86  512  377   30.613   -0.474   0.662
94,-crimson.en.kku. 202.28.116.236   2 u  375  512  337  220.359    2.240   1.394
95,+chilipepper.can 17.253.34.123    2 u  336  512  365   25.239   -0.390   1.000
96,-golem.canonical 140.203.204.77   2 u  366  512  377   26.218    0.610   2.069
97,-alphyn.canonica 145.238.203.14   2 u  211 1024  177   81.206    0.148   1.786
98,     remote           refid      st t when poll reach   delay   offset  jitter
99, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
100,*brenbox.westnet .GPS.            1 u  240  512  377   20.954   -0.435   3.608
101,-time.shf.uk.as4 198.137.202.11   3 u  135  512  377   26.829    0.556   1.325
102,-kabel.kashra-se .PPS.            1 u  172  512  377   55.488   -4.155   2.506
103,-185.216.231.116 52.239.121.49    3 u 1161  512  234  169.719   -7.737   1.411
104,+ntp1.ds.network 92.21.53.217     2 u  226  512  377   30.613   -0.474   0.672
